246	3	1	6	0	192	6	222	18
247	3	1	6	1	192	6	222	18
248	3	1	6	2	192	6	222	18
249	3	1	6	3	192	6	222	18
250	3	1	6	4	192	6	222	18
251	3	1	6	5	192	6	222	18
252	3	1	6	6	192	6	222	18
253	3	1	6	7	192	6	222	18
254	3	1	6	8	192	6	222	18
255	3	1	6	9	192	6	222	18
256	3	1	6	10	164	5	194	16
257	3	1	7	0	192	6	222	18
258	3	1	7	1	192	6	222	18
259	3	1	7	2	192	6	222	18
260	3	1	7	3	192	6	222	18
261	3	1	7	4	192	6	222	18
262	3	1	7	5	192	6	222	18
263	3	1	7	6	192	6	222	18
264	3	1	7	7	192	6	222	18
265	3	1	7	8	192	6	222	18
266	3	1	7	9	226	7	262	20
267	3	1	7	10	100	3	120	12
268	3	1	8	0	226	7	262	20
269	3	1	8	1	192	6	222	18
270	3	1	8	2	192	6	222	18
271	3	1	8	3	192	6	222	18
272	3	1	8	4	192	6	222	18
273	3	1	8	5	192	6	222	18
274	3	1	8	6	192	6	222	18
275	3	1	8	7	192	6	222	18
276	3	1	8	8	226	7	262	20
277	3	1	8	9	192	6	222	18
280	3	1	9	1	192	6	222	18
281	3	1	9	2	226	7	262	20
282	3	1	9	3	192	6	222	18
283	3	1	9	4	192	6	222	18
284	3	1	9	5	192	6	222	18
285	3	1	9	6	192	6	222	18
286	3	1	9	7	226	7	262	20
287	3	1	9	8	164	5	194	16
290	3	1	10	3	100	3	120	12
291	3	1	10	4	164	5	194	16
292	3	1	10	5	100	3	120	12
293	3	1	10	6	164	5	194	16
294	3	1	10	7	100	3	120	12
296	4	0	1	2	160	6	194	18
297	4	0	1	3	432	12	486	30
298	4	0	1	4	432	12	486	30
299	4	1	1	5	192	6	222	18
300	4	1	1	6	192	6	222	18
301	4	1	1	7	192	6	222	18
302	4	1	1	8	192	6	222	18
303	4	1	1	9	100	3	120	12
304	4	0	2	0	307	10	360	26
305	4	0	2	1	160	6	194	18
306	4	0	2	2	307	10	360	26
307	4	0	2	3	432	12	486	30
308	4	0	2	4	432	12	486	30
309	4	0	2	5	432	12	486	30
310	4	1	2	6	192	6	222	18
311	4	1	2	7	192	6	222	18
312	4	1	2	8	192	6	222	18
313	4	1	2	9	226	7	262	20
314	4	0	3	0	432	12	486	30
315	4	0	3	1	432	12	486	30
316	4	0	3	2	432	12	486	30
317	4	0	3	3	432	12	486	30
318	4	0	3	4	432	12	486	30
319	4	0	3	5	432	12	486	30
320	4	1	3	6	192	6	222	18
321	4	1	3	7	192	6	222	18
322	4	1	3	8	192	6	222	18
323	4	1	3	9	192	6	222	18
325	4	0	4	0	432	12	486	30
326	4	0	4	1	432	12	486	30
327	4	0	4	2	432	12	486	30
328	4	0	4	3	432	12	486	30
329	4	0	4	4	432	12	486	30
330	4	0	4	5	432	12	486	30
331	4	1	4	6	192	6	222	18
332	4	1	4	7	192	6	222	18
333	4	1	4	8	192	6	222	18
334	4	1	4	9	192	6	222	18
335	4	1	4	10	100	3	120	12
336	4	1	5	0	192	6	222	18
337	4	0	5	1	432	12	486	30
338	4	0	5	2	432	12	486	30
339	4	0	5	3	432	12	486	30
340	4	1	5	4	192	6	222	18
341	4	1	5	5	192	6	222	18
342	4	1	5	6	192	6	222	18
343	4	1	5	7	192	6	222	18
344	4	1	5	8	192	6	222	18
345	4	1	5	9	192	6	222	18
346	4	1	5	10	100	3	120	12
347	4	1	6	0	192	6	222	18
348	4	1	6	1	192	6	222	18
349	4	1	6	2	192	6	222	18
350	4	1	6	3	192	6	222	18
351	4	1	6	4	192	6	222	18
352	4	1	6	5	192	6	222	18
353	4	1	6	6	192	6	222	18
354	4	1	6	7	192	6	222	18
355	4	1	6	8	192	6	222	18
356	4	1	6	9	226	7	262	20
357	4	1	6	10	100	3	120	12
358	4	1	7	0	192	6	222	18
359	4	1	7	1	192	6	222	18
360	4	1	7	2	192	6	222	18
361	4	1	7	3	192	6	222	18
362	4	1	7	4	192	6	222	18
363	4	1	7	5	192	6	222	18
364	4	1	7	6	192	6	222	18
365	4	1	7	7	192	6	222	18
366	4	1	7	8	192	6	222	18
367	4	1	7	9	192	6	222	18
369	4	1	8	0	192	6	222	18
370	4	1	8	1	192	6	222	18
371	4	1	8	2	192	6	222	18
372	4	1	8	3	192	6	222	18
373	4	1	8	4	192	6	222	18
374	4	1	8	5	192	6	222	18
375	4	1	8	6	192	6	222	18
376	4	1	8	7	192	6	222	18
377	4	1	8	8	192	6	222	18
378	4	1	8	9	100	3	120	12
379	4	1	9	1	100	3	120	12
380	4	1	9	2	192	6	222	18
381	4	1	9	3	226	7	262	20
